env,lr,discount,epsilon,min_eps,states_size,episodes,monitor_reward_eps,display,img_folder,seed,duration_sec,last_reward,mean_rewards
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.8,0.1,"[10, 200]",5000,10,False,imgs,2019,21.915600061416626,-182.4,-196.8116
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.9,0.0,"[5, 50]",5000,10,False,imgs,2019,22.00059008598328,-200.0,-198.734
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.9,0.0,"[10, 100]",5000,10,False,imgs,2019,21.66199278831482,-169.7,-195.1266
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.9,0.0,"[15, 80]",5000,10,False,imgs,2019,21.908977031707764,-175.9,-196.4494
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.9,0.0,"[10, 200]",5000,10,False,imgs,2019,21.787636041641235,-167.7,-195.641
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.9,0.1,"[5, 50]",5000,10,False,imgs,2019,21.8648145198822,-200.0,-199.6822
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.9,0.1,"[10, 100]",5000,10,False,imgs,2019,21.76564145088196,-171.1,-197.4622
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.9,0.1,"[15, 80]",5000,10,False,imgs,2019,21.76827836036682,-188.0,-198.1098
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.9,0.1,"[10, 200]",5000,10,False,imgs,2019,21.627156496047974,-171.9,-196.7978
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.99,0.0,"[5, 50]",5000,10,False,imgs,2019,22.03113842010498,-200.0,-199.6626
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.99,0.0,"[10, 100]",5000,10,False,imgs,2019,21.588101148605347,-197.5,-196.6534
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.99,0.0,"[15, 80]",5000,10,False,imgs,2019,21.54713630676269,-163.0,-197.023
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.99,0.0,"[10, 200]",5000,10,False,imgs,2019,21.52975368499756,-195.6,-196.6192
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.99,0.1,"[5, 50]",5000,10,False,imgs,2019,21.65403461456299,-200.0,-199.7374
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.99,0.1,"[10, 100]",5000,10,False,imgs,2019,21.557830572128296,-154.5,-197.3782
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.99,0.1,"[15, 80]",5000,10,False,imgs,2019,21.60956287384033,-176.8,-198.3972
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.1,0.99,0.99,0.1,"[10, 200]",5000,10,False,imgs,2019,21.66250205039978,-190.6,-198.1196
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.8,0.0,"[5, 50]",5000,10,False,imgs,2019,22.32501792907715,-199.7,-199.8352
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.8,0.0,"[10, 100]",5000,10,False,imgs,2019,21.97279167175293,-199.5,-197.6006
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.8,0.0,"[15, 80]",5000,10,False,imgs,2019,22.11038374900818,-186.7,-198.1048
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.8,0.0,"[10, 200]",5000,10,False,imgs,2019,21.842578649520874,-162.1,-195.83240000000004
